sl_store,sl_description,sl_address,sl_city,sl_state,sl_zip,sl_phone,Toll Free,sl_fax,sl_url,sl_image
ALGOMA,COMMUNITY LIVING ALGOMA (NORTH 4),99 NORTHERN AVE. EAST,SAULT STE MARIE, ON,P6B4H5,705-253-1700,,705-253-1777, WWW.COMMUNITYLIVINGALGOMA.ORG,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ALGOMA,ALICE SADDY ASSOCIATION,11 WATERLOO STREET,LONDON, ON,N6B 2M4,519-433-2801,,, WWW.ALICESADDY.COM,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ALMAGUIN HIGHLANDS,ALMAGUIN HIGHLANDS COMMUNITY LIVING,(ALGONQUIN)78 ONTARIO STREET,SUNDRIGE, ON,P0A 1Z0,705-384-5384,1-888-293-2425, 705-384-7695,WWW.AHCL.ORG,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ATIKOKAN,COMMUNITY LIVING ATIKOKAN (NORTH 1-SUNSET REGION) , 114 GORRIE ST., ATIKOKAN, ON,  P0T 1C0,807-597-2259,,  807-597-1495,WWW.CL-ATIKOKAN.CA,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
BELLEVILLE,COMMUNITY LIVING BELLEVILLE AND AREA (LAKESHORE),91 MILLENNIUM PKWY., BELLEVILLE, ON, K8N 4Z5,613-969-7407,,  613-969-7775,WWW.COMMUNITYLIVINGBELLEVILLE.ORG,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
BRANTFORD,COMMUNITY LIVING BRANT (WEST 2),366 DALHOUSIE STREET, BRANTFORD, ON, N3S 3W2,  519-756-2662   ,,   519-756-7668,WWW.CLBRANT.COM,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
BROCKVILLE,BROCKVILLE AND DISTRICT ASSOCIATION FOR COMMUNITY INVOLVEMENT(LES VALLEES) (FRANCOPHONE),2495 PARKDALE AVE. W.  #4, BROCKVILLE, ON,K6V 3H2,613-345-4092 ,,613-345-7469,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
BRUCE PENINSULA,BRUCE PENINSULA ASSOCIATION FOR COMMUNITY LIVING (WEST 3), 314 GEORGE ST. BOX 95, WIARTON, ON, N0H 2T0, 519-534-0553 ,,519-534-2739,WWW.COMMUNITYLIVINGBP.ORG,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
CAMPBELLFORD/BRIGHTON,COMMUNITY LIVING CAMPBELLFORD/BRIGHTON (LAKESHORE),65 BRIDGE ST. E. BOX 1360, CAMPBELLFORD, ON  ,K0L 1L0,705-653-1821 , 1-866-528-0825 , 705-653-5738 ,WWW.COMMUNITYLIVINGBELLFORD.COM,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
CENTRAL HURON,COMMUNITY LIVING CENTRAL HURON (WEST 3), 267 SUNCOAST DR. E. BOX 527, GODERICH, ON , N7A 4C7,519-524-7362 ,,519-524-1511,WWW.CLCH.CA ,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
